,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
0,2003.0,7.7,Few,50.0,2,6,8,1,10
1,1994.0,8.1,None,83.0,7,10,8,1,9
3,2004.0,5.3,Many,60.0,1,6,8,1,9
4,1991.0,4.5,Several,96.0,1,4,8,1,9
6,1988.0,8.0,None,55.0,7,6,8,1,9
7,2005.0,4.8,Many,118.0,7,0,7,1,9
8,1990.0,7.1,Several,58.0,3,0,8,1,9
9,1972.0,6.8,Several,15.0,1,1,4,4,9
10,2001.0,7.6,Few,75.0,3,7,7,1,9
11,2004.0,7.2,None,205.0,0,2,8,1,9
12,2001.0,7.2,Few,87.0,3,7,8,1,9
13,1999.0,7.7,None,55.0,0,6,8,1,9
14,2000.0,7.6,Many,85.0,4,2,8,1,10
15,1998.0,4.6,Several,117.0,7,2,8,1,9
16,1993.0,6.9,Several,90.0,2,7,7,1,10
17,1973.0,7.1,Few,92.0,1,0,6,6,9
18,2003.0,2.8,None,72.0,7,10,8,1,9
19,1996.0,5.3,None,145.0,2,7,2,2,10
20,1986.0,5.7,Many,103.0,1,4,8,1,9
21,1996.0,7.0,Many,114.0,1,7,8,1,9
22,1993.0,8.3,None,45.0,7,6,8,1,10
23,2002.0,7.5,Several,74.0,1,6,8,1,9
24,2003.0,1.6,None,82.0,7,8,1,1,9
25,2003.0,7.6,Many,105.0,1,7,9,9,9
26,1996.0,6.5,Many,97.0,1,0,8,1,9
27,2004.0,4.8,None,118.0,1,4,3,0,4
28,2004.0,6.3,Many,24.0,1,3,7,1,9
29,1999.0,7.4,None,92.0,3,6,8,1,9
30,1985.0,4.1,Several,25.0,1,1,8,1,9
32,2001.0,8.3,Many,75.0,4,2,8,1,10
34,1974.0,7.5,Several,99.0,1,0,9,9,9
35,1999.0,7.2,Several,96.0,1,4,9,9,9
36,2004.0,8.0,Many,160.0,2,2,6,1,10
37,1996.0,4.7,Few,110.0,1,0,3,7,9
38,1998.0,7.5,Few,100.0,4,2,6,1,10
40,1996.0,8.5,None,60.0,7,6,8,1,10
41,1985.0,6.7,Few,103.0,1,4,9,8,9
42,2000.0,6.6,None,150.0,3,6,8,1,9
43,1989.0,6.7,None,92.0,1,4,3,0,9
45,2004.0,6.9,Several,94.0,1,7,2,2,9
46,2004.0,8.9,None,95.0,7,6,8,1,9
47,1993.0,7.2,Few,24.0,1,6,2,2,9
48,2000.0,8.0,Several,98.0,7,6,8,1,9
49,1988.0,6.9,Several,110.0,2,2,6,6,10
50,1973.0,8.1,None,91.0,2,10,7,1,10
51,2004.0,7.1,Several,108.0,1,4,9,8,9
53,2002.0,5.5,Few,85.0,1,7,8,1,9
54,2004.0,7.6,None,60.0,7,9,8,1,9
55,2002.0,5.6,Many,88.0,1,7,1,1,9
56,1995.0,6.7,Several,232.0,1,0,8,1,9
57,1985.0,7.4,Several,68.0,1,0,3,0,9
58,2003.0,2.7,Several,101.0,7,8,8,1,9
59,2001.0,3.9,Several,82.0,1,0,9,8,9
60,1999.0,8.5,Many,102.0,4,2,6,6,10
61,1978.0,5.6,Few,88.0,1,4,7,1,9
62,2003.0,6.4,Few,166.0,1,0,3,7,9
63,1999.0,5.9,Several,134.0,1,0,3,0,4
65,2005.0,3.6,None,86.0,7,8,1,1,9
66,1988.0,4.0,None,88.0,1,8,8,1,9
67,2002.0,7.3,None,103.0,7,6,8,1,9
68,1971.0,8.5,Many,95.0,1,4,9,9,9
69,2000.0,7.3,Several,102.0,2,1,7,1,10
70,1969.0,6.8,Several,66.0,0,10,7,1,9
73,2004.0,7.9,Many,45.0,1,4,2,2,9
74,1996.0,6.8,Several,90.0,1,4,9,3,9
75,2002.0,8.0,Few,108.0,1,6,1,1,9
77,2001.0,8.0,None,91.0,7,9,8,1,9
78,2003.0,7.4,Many,60.0,1,0,8,1,9
79,2001.0,6.1,None,100.0,4,2,6,6,10
80,2005.0,6.7,None,100.0,1,6,7,1,9
